	CFU_E_1	CFU_E_2	CFU_E_3	Pro_E_1	Pro_E_2	Pro_E_3	Int_E_1	Int_E_2	Int_E_3	Late_E_1	Late_E_2	Late_E_3
HTR3B	0.911108527817832	0.918005656892714	0.899713306003059	0.934163565018465	0.944596313388981	0.920216490710039	0.907599747863173	0.911279369111887	0.936141561750979	0.978559307973877	1.02692135213801	0.972292829349692
HTR4	1.40324158180414	1.28409478443528	1.31548628540933	1.45494843614045	1.29048236911164	1.33833917522596	1.3585589092531	1.41357077351902	1.46204363103303	1.57358298041551	1.56898143678397	1.59259815468784
HTR5A	0.929298636090541	0.920172173565521	0.920979193530336	0.965393078110875	0.918017086559965	0.906161625304165	0.972669053131055	0.883780053456424	0.904648990490826	0.99029508601599	0.92405578710209	0.92254719196777
HTR6	1.32027565913653	1.17426104936426	1.23304593379205	1.29110577239844	1.23312807909559	1.23327140060434	1.21317907535199	1.22375820075737	1.3028996379938	1.38750563120528	1.29117522552114	1.40156477973194
HTR7	1.06922080371742	1.04375321637982	1.07146659766602	1.05449981433042	1.05170595182238	1.06833515210652	1.09766506036361	1.05830330173942	1.10140193128075	1.10827254269296	1.14744722885084	1.11311335706222
HTR7P1	1.04293790498985	1.10579403582924	1.07886616029976	1.06216111297254	1.06884876239818	1.11358361149176	1.37962348447386	1.02496365210139	1.09256183587112	1.18355793520565	1.03920948238982	1.09096118331826
HTRA1	1.15017201963946	0.944110877632285	0.93121081219595	1.04917399269474	0.909230458292099	0.97769905265065	1.11805723036397	0.967172556904933	0.992449302824049	1.09835557381198	1.01185269994202	1.03804207937635
HTRA2	3.33975146290815	3.00177203255101	4.00500248188418	4.02174324683585	3.43062781446434	3.97478772097252	4.283492786296	4.35006562153663	6.11253487861533	4.04614247316904	2.48072986788321	3.42926792131724
HTT	1.47809170154353	1.79680330380539	1.85147505651796	1.74249098240845	1.84843926368761	2.12324739183007	1.5274393999849	1.43442590046889	1.54172148879857	1.31364687126922	1.13033071711713	1.15281868522759
HUNK	0.969898366376485	0.972983049337915	0.988757565349617	0.9746522343397	0.984887792857832	0.984212239100214	1.01615354172232	1.00232919526903	1.02008556911454	0.970150557315788	0.963637637970257	0.985937909974914
HUS1	2.06650122972001	2.24894036812074	2.37892969771889	2.19347857450212	2.14009947151799	2.2515304532743	1.76315906076572	1.65820885121807	1.69731991385857	1.49784628198713	1.20737320476762	1.45532198297958
HUWE1	7.02183044984202	5.51159997260645	5.4056172680938	6.4108729695402	5.54807086640364	5.42116717504998	6.2501665366183	6.32963452806218	6.23718522597104	8.98372545951874	9.40634488637801	8.08645521347154
HYAL1	0.943711675866277	0.988447613623585	0.971646391717163	0.918804341548095	0.998607993441218	0.957790353178532	1.00324972917568	0.946886030148326	0.951841035346746	0.992263029526862	0.984020176501581	1.02774653330827
HYAL2	1.42487950436613	1.35600923031354	1.65572157555423	1.49370996921023	1.44772395022836	1.52159972088145	1.32593070588102	1.26596154133544	1.38153560984121	1.17437453286346	1.23549343193782	1.31969727672812
HYAL4	0.934086405538849	0.945837007249285	1.00453336280254	0.97629342268719	0.970003961532125	0.938589329745427	1.01207618739415	0.988481906981803	1.03691437705582	0.970160785442553	1.09050737404113	1.03332825090019
HYI	1.15221055134763	1.13262935158536	1.10172524452244	1.17110432724575	1.20565427179849	1.22403999647306	1.40712446174605	1.32255131499757	1.55862198228644	1.52831305756662	1.15226308695324	1.22990647934756
HYMAI	1.25495030384693	1.44171544400353	1.46662903346936	1.28997072843559	1.4654566739527	1.41458310261548	1.3283428116277	1.21081240599654	1.1818378989957	1.00897453414106	1.04855219892859	0.978376830734953
