	DBA_A	DBA_B	DBA_C	Control_A	Control_B	Control_C	Control_D	Control_E	Control_F
ANP32E	4.89024358737721	5.33811459111851	5.02392072712273	5.68020975484646	4.82536413301191	4.72496553348489	5.17570540554892	4.89202645463584	5.21298532192211
ANPEP	0.995212647147294	0.939946597830812	0.977974893798652	0.945255863748835	0.976978723528742	1.05848587284479	0.962420821526536	0.980429033270996	0.944514309501231
ANTXR1	1.0037878624891	0.961472929171581	0.917395710359652	0.9324018544091	0.975166932765088	1.00669140677015	0.967358763801155	0.978014648534332	0.966026681087852
ANXA1	4.81820765151984	4.26146382201753	5.5618813518137	4.12629207511471	5.84946327953812	6.73245514230615	4.64911658125389	7.24221615386292	4.69408678359606
ANXA10	0.873393614045289	0.945311304880217	0.902694427598861	0.912006667416514	0.89771543776107	0.884799739950867	0.903348416705774	0.928109508579447	0.907590700748298
ANXA11	2.03198874021344	1.86820558575791	2.07755923291644	1.95103062427911	2.32255085710646	2.24686281586143	1.96584014569389	2.1860026871448	1.90406767695154
ANXA13	0.870174583315658	0.876777100177242	0.88168465397918	0.871892887070081	0.863355486703764	0.847410862922888	0.871943574042939	0.805751867539466	0.856553510575505
ANXA2P1	1.02329376946563	0.987999752525256	1.01200258916577	1.03891528163393	0.963470873786053	1.01938727626402	0.970422293446741	0.967630688253507	1.0377844518936
ANXA2P2	1.51723473841758	1.40736110451748	1.39765444327957	1.25211795964573	1.29231289192768	1.46298505653198	1.31391298944153	1.40794063676485	1.38691204806382
ANXA2P3	1.08197987620939	1.03172230361757	1.07918799972264	1.07190717660896	1.03520584626309	0.996974821831151	0.996332076688637	1.03104766133498	1.02754198198824
ANXA3	1.09159537631028	1.03966423587046	1.18344286611873	1.32756085220233	1.23020995973773	1.19801699976608	1.09176689652465	1.11619355659128	1.08415401286749
ANXA4	2.59708723323803	2.42216983262533	2.80177540197497	2.16480047852685	2.52210861655124	2.86125042970165	2.36295696460837	2.66433825055603	2.45422243612076
ANXA5	1.93215338792625	1.95770134702204	2.62811266154254	1.94778381183682	2.689905676364	2.13456554825433	1.88123014234679	1.66042540654015	1.75992153123603
ANXA6	1.01586595183045	1.073700998405	1.05182319404867	0.946001647447575	0.977553455913708	1.09745297038533	0.97491870874798	1.08854019013676	0.964686511812344
ANXA7	3.47525543438734	3.19750145491248	3.38726112752912	3.50757673410315	3.52089573903685	3.84889907367689	3.27165636286597	3.29662773115257	3.20780091936585
ANXA9	1.02128959424311	0.943387334199428	0.968756966062902	0.965471813140015	0.977373013456435	0.946606482274768	1.02463909543129	1.03208877466996	0.985442980739729
AOAH	1.29031527747788	1.27895905376198	1.44207564316854	1.42683959190402	1.4615719843765	1.37732060610904	1.31896672829281	1.25577459587166	1.25606868120083
