	Ery_C1_cells	Ery_C2_cells	Ery_C3_cells	Ery_C4_cells	Ery_C5_cells	Ery_C6_cells	Ery_D1_cells	Ery_D2_cells	Ery_D3_cells
RNF128	0.943464889944341	0.927718355961183	0.929509941848297	0.968787987958963	0.948303781762483	0.960900260829411	0.987544073342379	0.924997536044217	0.958448823828222
RNF13	2.20444425216571	2.18727498982414	2.27303671920284	2.34668441399614	2.63963111290494	2.54060540284035	2.62360948845536	2.21223424228208	2.83390680171767
RNF130	4.0915348744758	5.14491411210218	4.5220914774012	4.9133801661955	4.47857671531181	4.29781720183404	4.34615050276636	4.16018477018303	5.06646313769066
RNF138	4.37979997418573	4.24949352248094	3.74451344841548	4.31360395847864	3.6600982176781	4.11871407882649	3.99682224351359	3.81395357671523	4.18993500407777
RNF139	4.48201111862267	5.19279937147071	4.51577381186845	4.6532507406641	4.68893507600339	4.53706346016943	3.95082054297297	4.7665544198478	4.53073690574573
RNF14	1.94583558171247	1.47463813460476	1.53690261961281	1.50440502229087	1.49157323375902	1.88272945234031	1.65246377496015	1.58812014882279	1.84786382148452
RNF141	1.61792979612046	1.50457296116345	1.37004217409717	1.4099574306851	1.14822044908604	1.24138857686495	1.30482127968615	1.69263178861297	1.27613284805654
RNF144A	1.81528366848948	1.61764881043506	1.57951652298551	1.72077500257259	1.59008032709406	1.63907292080057	1.65623211755718	1.47183444628827	1.70824028259801
RNF146	0.799745732046747	0.797100764120862	0.817153926282942	0.815723098508496	0.806008684067059	0.8405660947926	0.791034295115737	0.899028794505372	0.836189861628752
RNF167	1.36815874086594	1.40345572012251	1.44529365993136	1.37097639040314	1.46947906936408	1.4527612633383	1.44324038543376	1.65017117900308	1.55015334886094
RNF17	1.18009663170668	1.12239247111741	1.09562520682949	1.00356476302212	1.04560752811739	1.13841737189471	1.04986091921241	1.10559303842544	1.18859625919799
RNF170	1.74752735343378	1.7729211241787	1.74011917315433	1.70450996437103	1.51604497519871	1.77968436650584	1.66119124999582	2.23913995055169	1.78843759284042
RNF185-AS1	0.888300834157935	0.861068377090181	0.901298889206921	0.924959904312938	0.840745829380502	0.912725769130672	0.916246407816554	0.907606653312708	0.889413856760122
RNF186	0.994503715097194	1.04354771516403	1.05467304607492	1.01337979927217	1.0416318437043	1.06052303056582	1.04342981145028	1.01895371817664	1.09214228132687
RNF187	2.94701037828448	2.80292547613234	2.5870500805434	2.65013136852753	3.32535501013061	3.05781261736104	3.01365178219566	3.53134046407105	3.29864988755275
RNF19A	1.0584432995039	1.00049898787004	1.01525923865409	1.03552740085506	0.977130950403794	0.986929825457514	0.958518421037924	1.01347838265987	0.999532509909064
RNF19B	1.10386545376035	1.11956801297685	1.15959775579963	1.10863557974386	1.1099925477877	1.10601699786471	1.12769040865595	1.15111205999732	1.14748552400521
RNF2	1.32354016010387	1.30479008012885	1.21508076673494	1.32763018150851	1.1520333708269	1.39973780848998	1.34733390519502	1.17556421924769	1.29100316422342
RNF208	0.912091942068296	0.887056829315043	0.901643534780963	0.901292247627751	0.953618380102046	0.930009237405803	0.895065931047061	0.936920839299962	0.91722884179389
RNF216	1.11465542152732	1.16875352985953	1.14445249282609	1.16684138500229	1.06225025092459	1.1630699167591	1.23612058212778	1.27366494486127	1.13117999483665
RNF219	1.98024177881089	1.86868578009051	1.65458593733413	1.48078190641221	1.32937072613868	2.20216555318698	2.63213810556776	2.43372563676359	2.14454583881079
RNF220	1.85769241324192	1.93247871425807	1.83834238667764	1.88283607166269	1.81278944421911	1.7401380563413	2.02258841542334	2.05196941861651	1.9267129190671
RNF24	1.56458649435546	1.98198174773737	2.02309149348804	2.01400568946129	2.24956577774853	1.94409809431646	2.28931502517064	2.50936660396397	2.13138302948028
RNF25	1.01940262812543	1.07079708085953	1.06232279162407	1.03561931096812	0.981860387997212	0.93838539707037	1.0125731140907	1.06475567389639	1.03526173056652
RNF32	0.957338016255555	0.927524814496728	0.911827118698137	0.923287487295031	0.919510434327189	0.921134122938549	0.961767135860645	0.950254593322782	0.994268773759046
RNF34	2.26968043193544	1.67388526279831	2.04378654509793	2.06661594661297	1.71814221465565	2.48558203243411	2.42760484023256	2.51048756281062	2.51471029758529
RNF38	3.22467971919273	3.52295285873364	2.84560812953376	3.48504798393844	3.01856241747004	3.51011440583451	3.80412788780983	2.98178218692491	3.15991534536182
RNF39	1.0653177567897	1.01159525382562	0.996835743073784	0.9879911145835	1.02830193574167	1.00981861915839	1.01183161953233	1.03967410708847	1.04852591974885
RNF4	2.95856663728461	3.28459254934409	2.76670786962739	3.4817869643064	2.34973677410926	2.61469335398568	3.06146117630746	2.726342093873	2.76039195903284
RNF40	1.32556711740994	1.2856710068811	1.23340535538751	1.25749599337511	1.21207251731517	1.24321204789587	1.47668108481922	1.6124024830398	1.24644801704039
RNF41	1.44091921844396	1.53719089307509	1.51590471992708	1.50444568755444	1.42581762189534	1.4239625601691	1.61954514801892	1.46326573016201	1.55761834418958
RNF43	1.03544288893766	1.03980468534603	0.987732355288105	0.982484670246369	0.931021705515316	0.963882574742164	1.01055307374476	1.05012095263294	0.970820708388083
RNF44	2.07975045907903	2.30782719857229	2.12926836367093	1.96945813686888	2.14115982894847	2.61951352536615	2.52849506808831	2.41582144084762	2.25367479182662
RNF6	3.76797109800769	3.72812634511058	2.98364065013906	3.19786858301093	3.21343882515771	3.77599137671392	3.66925655098375	3.12309156948379	3.69704684349572
RNF7	1.84386093511471	2.22330395059125	1.96816418761259	2.07039337594718	1.74292130585777	1.59647189652609	1.78675907472086	2.15613162921212	1.91789379811253
RNF8	1.6911430326456	1.57976002994753	1.77667497783476	1.71287436032353	1.45348924304527	1.68878987781151	1.81047178752245	1.70312520685371	1.6926808999718
RNFT1	0.999991716925497	0.94076936441148	0.924908214024803	0.913032101340712	0.924249092302407	0.988404295474862	0.975467576055277	0.955968621899691	0.971099392519089
RNFT2	1.18743601379936	1.11135303374389	1.16356805996359	1.17188043377539	1.22603318212678	1.26999417802521	1.11944759305856	1.106856221607	1.37892640558796
RNGTT	1.74404669293819	1.74748963819391	1.6051957125006	1.77244535704394	1.47166537860189	1.98847154559653	1.95273686532579	1.79030136955125	2.10873128795582
RNH1	2.51582753425678	2.27970316517482	2.41332491374493	2.11595631121212	2.33036957505618	2.10056837239874	2.70220631184615	3.14063621582411	2.15901200196102
RNLS	0.881106716484801	0.952865944458512	0.926304812744341	0.935463671740807	0.982634552286973	1.01560258581501	1.01447930620487	0.930611355698131	0.926363938169068
